411	411 information
AMA	American Murder Association
BOAKYAG	Bend Over And Kiss Your Ass Goodbye
BOB	Bug Out Bag
BOHICA	Bend Over Here It Comes Again
BS	Bull Shit
CCC	Cheap China Crap
CDC	Center for Disease Creation
CGI	Computer Generated Imagery
CIA	Criminals In Action
CMDOC	Coffee, My Drug Of Choice
DC	District of Criminals
DEA	Drug Encouragement Agency
DHS	Department of Horror & Slavery
DOA	Dead On Arrival
DST	Daylight Stupid Time
FBI	Freely Bumbling Idiots
FTS	Fuck That Shit
FUBAR	Fouled Up Beyond All Recognition
GFY	Go Fuck Yourself
GOD	Get Out of Dodge
GOOD	Get Out Of Dodge
IIABDFI	If It Ain't Broke, Don't Fix It
INCHB	I'm Not Coming Home Bag
MIA	Missing In Action
MSM	Mad Screaming Maniacs
NASA	National Aeronautica and Space Administratio
NSA	National Surveillance Agency
NWO	New World Oppression
RTM	Read The Manual
SH	Shit Happens
SNAFU	System Normal, All Fouled Up
SSDD	Same Shit Different Day
STTAB	Smarter Than The Average Bear
TARFU	Things Are Really Fouled Up
TEOTWAWKI	The End Of The World As We Know It
TMA	Too Many Acronyms
TMI	Too Much Information
UN	United Nutz
WIP	Work In Progress
WTF	What The Fuck
WTSHTF	When The Shit Hits The Fan
WWJD	What Would Jesus Do
WWSD	What Would Satan Do
WYSIWYG	What You See Is What You Get
